group,gene,scores,logfc,pvals,padj
CD4_T,CCR7,35.36388,3.8555708,6.135239061550382e-274,1.8405717184651147e-270
CD4_T,RPL4,19.403433,0.26863098,7.218627135919542e-84,2.7069851759698284e-81
CD4_T,RPS18,19.171389,0.26337624,6.417278799842518e-82,2.139092933280839e-79
CD4_T,RPL34,16.261377,0.27813372,1.8551792919811952e-59,5.0595798872214417e-57
CD4_T,RPL31,15.294701,0.30121735,8.2941549962832775e-53,1.777318927774988e-50
CD4_T,TNFAIP3,11.878587,0.40181828,1.529304596638928e-32,2.2939568949583917e-30
CD4_T,GPR183,10.968312,1.0369506,5.427618108964451e-28,7.753740155663501e-26
CD4_T,RPL38,10.444,0.30671546,1.5609075012828195e-25,2.035966306021069e-23
CD4_T,CXCR4,9.171398,0.27149546,4.6692502029520594e-20,5.002768074591492e-18
CD4_T,PLAC8,9.081041,1.1627979,1.0754070221026851e-19,1.075407022102685e-17
CD4_T,FOS,8.234166,0.3490301,1.8081206068785459e-16,1.59540053548107e-14
CD4_T,ANXA1,7.8972116,0.44983506,2.8521258749049975e-15,2.376771562420831e-13
CD4_T,KLRB1,6.1108847,1.1565233,9.908027844950185e-10,5.8282516735001085e-08
CD4_T,CD69,5.9705133,0.29255122,2.3650806695287566e-09,1.3644696170358212e-07
